Date : 2022-04-20 16:23:04
Directory : c:\Users\me\Desktop\React\learning_projects\productivity-app\src
Total : 70 files,  2201 codes, 14 comments, 269 blanks, all 2484 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\ChangeThemeButton.js                                  | JavaScript |         83 |          0 |          6 |         89 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\Dropdown.js                                           | JavaScript |         41 |          0 |          2 |         43 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\Loading.js                                            | JavaScript |         10 |          0 |          3 |         13 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\LogoutButton.js                                       | JavaScript |         20 |          0 |          5 |         25 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\Header.js                                  | JavaScript |         31 |          0 |          4 |         35 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\PageLayout.js                              | JavaScript |         30 |          0 |          4 |         34 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\Sidebar.js                         | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\components\AddChildModal.js        | JavaScript |         73 |          0 |          4 |         77 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\components\SidebarBody.js          | JavaScript |         79 |          0 |          4 |         83 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\components\SidebarChild.js         | JavaScript |         39 |          0 |          4 |         43 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\components\SidebarItem.js          | JavaScript |         22 |          0 |          3 |         25 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\components\SidebarLink.js          | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\PageLayout\sidebar\components\SidebarParent.js        | JavaScript |         83 |          0 |          6 |         89 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\TasksList.js                                | JavaScript |         78 |          3 |          5 |         86 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\add-task\AddTaskButton.js                   | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\add-task\AddTaskForm.js                     | JavaScript |        123 |          0 |          4 |        127 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\add-task\components\SetDueDate.js           | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\add-task\components\SetLabel.js             | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\add-task\components\SetPriority.js          | JavaScript |         49 |          0 |          5 |         54 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\Task.js                                | JavaScript |         93 |          0 |          5 |         98 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\Menu.js                     | JavaScript |         40 |          0 |          2 |         42 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\buttons\AddChild.js         | JavaScript |          8 |          0 |          3 |         11 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\buttons\DeleteBtn.js        | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\buttons\DueDateBtn.js       | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\buttons\EditBtn.js          | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\buttons\LabelBtn.js         | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\components\TasksList\task\components\buttons\PriorityBtn.js      | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\dashboard\Dashboard.js                                           | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\goals\GoalsPage.js                                               | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\home\Home.js                                                     | JavaScript |         27 |          0 |          2 |         29 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\home\components\HomeHeader.js                                    | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\mindmaps\MindmapPage.js                                          | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\Plan.js                                                    | JavaScript |         22 |          0 |          3 |         25 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\PlanPage.js                                                | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\PlanHeader.js                                   | JavaScript |         18 |          0 |          3 |         21 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\TasksList.js                                    | JavaScript |         42 |          0 |          5 |         47 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\add-task\AddTask.js                             | JavaScript |         20 |          0 |          3 |         23 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\add-task\components\AddTaskButton.js            | JavaScript |         13 |          7 |          5 |         25 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\add-task\components\AddTaskForm.js              | JavaScript |         83 |          0 |          5 |         88 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\task\Task.js                                    | JavaScript |         70 |          0 |          7 |         77 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\task\components\SubTasks.js                     | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\task\components\buttons\AddChildButton.js       | JavaScript |         17 |          0 |          3 |         20 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\task\components\buttons\DeleteTaskButton.js     | JavaScript |         28 |          0 |          4 |         32 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\task\components\buttons\EditTaskButton.js       | JavaScript |         11 |          0 |          4 |         15 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\plans\components\task\components\buttons\ToggleCompleteButton.js | JavaScript |         32 |          0 |          4 |         36 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\profile\Profile.js                                               | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\projects\ProjectsPage.js                                         | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\settings\Settings.js                                             | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\timers\TimersPage.js                                             | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\today\TodayPage.js                                               | JavaScript |         22 |          0 |          3 |         25 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\today\day-page\DayPage.js                                        | JavaScript |         45 |          0 |          4 |         49 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\today\day-page\components\DayHeader.js                           | JavaScript |         16 |          0 |          2 |         18 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\today\day-page\components\DayTasksList.js                        | JavaScript |         83 |          0 |          7 |         90 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\pages\upcoming\UpcomingPage.js                                         | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\providers\AllProviders.js                                              | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\providers\AuthProvider.js                                              | JavaScript |         75 |          0 |         18 |         93 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\providers\PlanProvider.js                                              | JavaScript |         25 |          1 |          5 |         31 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\utils\classes.js                                                       | JavaScript |         12 |          0 |          0 |         12 |
| c:\Users\me\Desktop\React\learning_projects\productivity-app\src\utils\functions.js                                                     | JavaScript |          7 |          0 |          0 |          7 |
| Total                                                                                                                                   |            |      2,201 |         14 |        269 |      2,484 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
